,date,000037.OF,003039.OF,003040.OF,003223.OF,003819.OF,004020.OF,004027.OF,004028.OF,006670.OF,006869.OF,006970.OF,007396.OF,007598.OF,007778.OF,013449.OF,median,ma4
217,2022-12-20,2.56133253096812,1.744756462068373,1.7423697396182107,0.0,0.0,1.0637648239784119,0.0,1.7846133526922752,2.657943285073674,2.3322326964710425,6.194390989929305,2.081359437078633,2.115954898760237,0.0,2.538699130220527,1.7846133526922752,2.185388251075987
218,2022-12-21,2.686826824904218,2.077777538406946,2.093981590909616,4.428472086225642,2.740552049513891,1.1808592683905146,2.3418893907190172,2.2804484566232284,2.940404675244939,2.735896343344394,5.992480254442858,2.532439285320981,2.3679762605193235,2.9090821864977006,2.669935990918519,2.669935990918519,2.2580027402234393
219,2022-12-22,2.6843290557375745,2.0625689804242056,2.087720086176685,4.584283816425067,2.7405052939059695,1.1781676630478382,2.341811531300705,2.2804405670942023,2.794390246213897,2.4688298926102212,5.722068712738806,2.4900097804323797,2.242154324064348,2.908849177156921,2.6674955051512446,2.4900097804323797,2.30263242839083
220,2022-12-23,0.0,0.0,1.9549535152920572,4.065613201729732,0.0,1.2059178466740978,0.0,0.0,2.837191900355163,2.4233142468924984,5.899890560399229,2.435424433220569,2.215530730877413,0.0,0.0,1.2059178466740978,2.037619242679318
221,2022-12-26,2.618560505153209,1.9017229947788854,1.889810822132999,3.600873161330604,0.0,1.1556703570737876,2.099313106050639,2.2335672461580898,0.0,0.0,0.0,2.3402445209803067,0.0,2.789883434994098,2.5983243828836935,1.9017229947788854,2.0668966532009705
222,2022-12-27,2.5289209947062625,1.9626756490488915,1.9412527740355952,0.0,0.0,1.065809870314784,1.84240059379196,1.7740448004847478,2.801924070509851,2.379101771072457,5.696960699888056,2.408935754833519,2.1371146313409333,2.541516509718753,2.508453889985687,2.1371146313409333,1.933691313306574
223,2022-12-28,0.0,1.979152843385418,1.9935729483620057,3.966821747734122,0.0,1.1676455906902101,0.0,2.260866646112588,2.842452063232023,2.456892066911818,5.439942889534199,2.3983510528668366,2.2116986670417536,0.0,0.0,1.9935729483620057,1.8095821052889807
224,2022-12-29,0.0,0.0,1.986647713672427,3.684370775267949,2.3944423499015572,1.163487791524786,2.1659923923319946,2.158675713724032,2.834537465996336,2.4489599711664054,5.647506089319407,2.3911606798512732,2.2046969065541804,0.0,0.0,2.1659923923319946,2.049600741703455
225,2022-12-30,0.0,2.036356233710154,2.058213511877998,4.02034198010578,0.0,1.2086879603575396,2.3050172067980204,2.26439606503152,2.875231373530147,0.0,6.347417047911459,2.59391175374752,0.0,2.8457221419832264,0.0,2.058213511877998,2.088723370978233
226,2023-01-03,2.5029256244924305,1.8374596931594027,1.836258190165813,3.5036972801042374,2.3420510906697736,1.1489426144255628,2.0960908747639917,2.04565446534799,2.7341393364846365,0.0,4.813448407562646,2.184535426261565,1.9585605948807556,2.6186130968756,2.4811175186640257,2.184535426261565,2.1005785697083907
227,2023-01-04,2.5017609727341092,1.8594681310083874,1.852423161229121,3.5025363929201525,2.340987391613672,1.1484899982899537,2.0950131672832644,2.225319788743971,2.5726760841746987,2.162057493523275,5.947473568225679,2.228857885759049,2.024551751832742,2.7910665852494043,2.4799534576486733,2.228857885759049,2.1593998040576516
228,2023-01-05,2.4800851964013013,1.9884009917388834,1.9707266317674559,0.0,2.134551129295947,1.0427503478804032,1.870727557764655,1.8017932347625962,2.826524345909127,2.4396418408051996,5.23856810118419,2.4855431205317355,2.2760221918632704,2.475132064378859,2.4585407316928145,2.2760221918632704,2.1869072539404706
229,2023-01-06,2.432320760041144,1.9803144655507967,1.9307591915831899,3.491903156665885,2.073060362015038,1.0540989711156272,1.8245320920406223,1.9124084001653454,2.8117445471835927,2.5121943844553676,5.238925018862604,2.394129750507852,2.324533429629991,2.4247476569490685,2.413221168452049,2.394129750507852,2.2708863135979342
230,2023-01-09,2.5325099840009067,1.9973971315374424,1.9884475284347005,3.8556554048972775,2.1476125354824545,1.0533056021090659,1.8208530487187438,1.8812456928996415,3.217850791490269,3.267425853192827,5.56516285211954,2.3790043673348267,2.311809971635938,2.4654132028310913,2.5136633660558525,2.3790043673348267,2.3195035488662494
231,2023-01-10,2.430752832495269,1.702822833812604,1.7007247249465118,3.4869466416671284,2.070782263705967,1.0514782819871977,1.8221677059851706,1.909512702538587,2.8390395863297426,2.671531842990978,6.334191713057428,1.9980984652933897,2.339430418414726,2.4232336972349358,2.4116241390288327,2.339430418414726,2.3471466820301687
232,2023-01-11,2.509568465434282,1.7302684612809538,1.711059223555274,3.5762859113814915,2.202976836963333,1.4399608273487923,1.9915612933705673,1.9207510736364362,2.674686050394042,2.294876028736306,5.606697655846264,2.0108444605845945,2.1463298190379265,2.527257038620788,2.4832443413266505,2.202976836963333,2.3288853433051844
233,2023-01-12,2.6955211392286937,1.8958784801198816,1.885913438725581,3.63799912886542,2.2533697898784384,1.0954626106572194,2.0718140499178093,2.197407663277569,2.624623597393712,2.2144905948467937,6.164601972045936,2.3316430185604196,2.125590378564036,2.8039366882256633,2.673964515833351,2.2533697898784384,2.293695353147831
234,2023-01-13,2.664639474879308,2.033927593495177,2.0344619951905445,4.213756696578974,2.583830710801507,1.2176248630585524,2.300303035617226,2.275933017567295,2.8867623208301807,2.506123733318718,5.2337969019961275,2.5943526886124086,2.3733665507883512,2.807778479423642,2.646762882317957,2.583830710801507,2.344901939014501
235,2023-01-16,2.6710583677925395,0.0,2.0054327274892336,3.8795957031022104,2.65404952140326,1.202901492367273,2.2968211870857234,2.2079766320975507,2.8599386955655035,0.0,5.639119066940991,2.5233950725330687,0.0,2.8155000385717273,2.6565959790129154,2.5233950725330687,2.3908931025440867
236,2023-01-17,2.606028420580012,1.9708859169418185,1.9733055506404558,3.6286865167464155,2.3800073543098827,1.1459678958158939,2.139597303549092,2.2064255139476385,2.8580589076083265,2.3875968300798993,5.184769410263388,2.445040721623181,2.2095138690083056,2.6452209008438343,2.595627217854209,2.3875968300798993,2.4370481008232283
237,2023-01-18,2.5959291721311453,1.9880210527335405,1.9477135783996706,3.492690503357536,2.3284877948783014,1.1485570906337608,2.133554382822431,2.1098418053352685,2.800525105453813,2.3605715797460647,5.038351622703118,2.425356477576826,2.1384277135353607,2.561451228100807,2.582352155287983,2.3605715797460647,2.4638485482901347
238,2023-01-19,2.642822895373536,2.012394632611839,2.009440390033963,3.8926384667672527,2.456992375666684,1.2015473205112857,2.225300893533192,2.202124502863966,2.8623815672439146,2.446801649988127,5.172375445433549,2.490880030553776,2.229686617619653,2.6402783652000354,2.6276688207603667,2.456992375666684,2.432138964506429
239,2023-01-20,2.5263807186343334,0.0,0.0,0.0,2.284245528008201,0.0,1.8929948802550565,1.820558078421809,0.0,0.0,5.834173245350831,2.5254070839577647,3.0156744862267373,0.0,2.507644858295833,1.820558078421809,2.2564297159786144
240,2023-01-30,2.6601287309422084,0.0,0.0,0.0,2.2757332426438217,1.0982340362275462,1.8819557489316572,2.219972665238676,2.893343646230728,2.5612246798724345,5.005787123892384,2.6348664484147664,2.388517148893125,0.0,2.6440967283178405,2.2757332426438217,2.228463819119595
241,2023-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6383209241830787
242,2023-02-01,2.5756108763282493,2.07582312129277,2.0934376198831393,4.345479920406318,2.6965423392889694,1.5437950819641797,2.339657051271929,2.2981541280892674,2.8408165499150675,2.5457138985438803,6.28024485413156,2.6513886444282653,2.3547135074469736,2.878506164230003,2.5567372361103864,2.5567372361103864,1.6632571392940043
243,2023-02-02,2.7457807760502857,2.093717777923034,2.106673971497713,4.627744018934059,2.766640680280954,1.2046039168931775,2.3310580878617784,2.2603472456277194,3.1495719750946125,3.107219396576258,5.5178240331715,2.663689350736742,2.99345548429216,2.9246105041815342,2.728092316017492,2.7457807760502857,1.8945628137011234
244,2023-02-03,2.666555025642456,2.075541693549647,0.0,4.443951839835281,2.7540588041722787,1.2185260373375821,2.307807427989594,2.2394132695366173,2.7845575155890994,2.5656016262651358,5.4774635746299545,2.601892971643216,2.3267306455585337,2.89358174465859,2.6523474203231796,2.601892971643216,1.9761027459509721
245,2023-02-06,2.528823157994258,1.9159889049402317,0.0,0.0,2.1412175296436824,1.1193980306082594,1.9260715517773916,1.8623207524267122,2.7843899315901606,2.5665588711106153,6.2832553417081,2.2587358593764435,2.0751105127897036,2.4067085285106264,2.5109184573549506,2.1412175296436824,2.511407128361893
246,2023-02-07,2.4077436692722154,1.9076321877513338,0.0,0.0,2.0467943860340596,1.03596408606814,1.7968855330347244,1.7301427335891537,2.7939590110761605,2.491109101734682,5.185739005645942,2.2664152143074494,2.2324467130699075,2.4000951244971245,2.38713569385761,2.2324467130699075,2.430334497601773
247,2023-02-08,2.40762831951496,0.0,0.0,0.0,2.047231350615021,1.0369307446276301,1.7969157379295884,1.9200386227635051,2.7635983756875624,2.5958291563588896,5.65037061259198,2.2302428541604016,2.117103242695786,2.4002747632841905,2.38701276851961,2.117103242695786,2.273165114263148
248,2023-02-09,2.447793139250989,0.0,0.0,0.0,2.197060577721121,1.1174894386808,1.9756448833959501,1.9160247619728843,2.8921070981714645,2.6898514214394575,4.695485373561457,2.402768607111355,2.3209901351405486,2.508006240113859,2.4240242997629555,2.3209901351405486,2.202939405137481
249,2023-02-10,0.0,0.0,0.0,0.0,2.042489678183324,1.0363705419577007,1.7919429888265634,1.9137401677676396,2.7575674716724445,2.589504983253506,5.952421473532735,2.2241766147144477,2.1113364083714634,2.3940592101757736,0.0,1.9137401677676396,2.1460700646684705
250,2023-02-13,2.398710320235377,0.0,0.0,0.0,2.041131378690587,1.0366944841392762,1.790449533131775,1.7241720734770216,2.790493012934381,2.4829005714092416,5.6475354127995825,2.418985140737165,2.221256515795454,2.3919736021041196,2.378111826015512,2.221256515795454,2.143272515349857
251,2023-02-14,2.434138061804397,0.0,2.005708402911843,4.030428659891942,2.048277145390576,1.0713273681614284,1.8119850821379957,1.7386762615695373,2.981471916607308,3.168661057169919,5.532895834604082,2.4712798102227076,2.576572739778285,2.4146962495556306,2.4129852215658714,2.4146962495556306,2.2176707670648184
